name,description,initials,teachers
Periodismo en Redes Sociales,Periodismo en Redes Sociales,COM825,['Arly Faundes']
"Desinformación, Noticias Falsas y Sociedad","Desinformación, Noticias Falsas y Sociedad",COM903,['Lyuba Yez']
"Género, Comunicación y Sociedad","Género, Comunicación y Sociedad",COM904,['Ingrid Bachmann']
Narración Transmedia Digital e Interactiva: Impactando a la Industria Creativa y de Medios,Narración Transmedia Digital e Interactiva: Impactando a la Industria Creativa y de Medios,COM906,['Francisco Fernandez']
Comunicar a Personas Conectadas,Comunicar a Personas Conectadas,COM907,['Eduardo Arriagada']
Advanced English 1,Advanced English 1,CPD7000,['(Sin Profesores)']
Análisis del Movimiento Ocupacional,Análisis del Movimiento Ocupacional,CSS301A,['Carlos De la Fuente;Ricardo Banda;Marcela Cerna']
Neurociencias Aplicadas a Ciencias de la Salud,Neurociencias Aplicadas a Ciencias de la Salud,CSS302A,['Carolina Mendez;Cristopher Aceituno']
Examen de Candidatura,Examen de Candidatura,DBV4005,['Dirección Docente']
Proyecto de Tesis,Proyecto de Tesis,DBV4006,['Dirección Docente']
Tesis de Doctorado I,Tesis de Doctorado I,DBV4007,['Dirección Docente']
Tesis de Doctorado II,Tesis de Doctorado II,DBV4008,['Dirección Docente']
Tesis de Doctorado III,Tesis de Doctorado III,DBV4009,['Dirección Docente']
Tesis de Doctorado IV,Tesis de Doctorado IV,DBV4010,['Dirección Docente']
Tesis de Doctorado V,Tesis de Doctorado V,DBV4011,['Dirección Docente']
Actividad Anual de Seguimiento I,Actividad Anual de Seguimiento I,DBV4012,['Dirección Docente']
Actividad Anual de Seguimiento II,Actividad Anual de Seguimiento II,DBV4013,['Dirección Docente']
Autoría Artículo Científico o Patente,Autoría Artículo Científico o Patente,DBV4014,['Dirección Docente']
Pasantía I,Pasantía I,DBV4015,['Dirección Docente']
Ayudantía,Ayudantía,DBV4016,['Dirección Docente']
Pasantía II,Pasantía II,DBV4017,['Dirección Docente']
Unidad de Investigación II,Unidad de Investigación II,DBV4019,['Dirección Docente']
Herramientas Genómicas,Herramientas Genómicas,DBV4020,['Claudio Meneses']
Biología Molecular Vegetal,Biología Molecular Vegetal,DBV4102,['Hannetz Roschzttardtz']
Desarrollo y Reproducción Vegetal,Desarrollo y Reproducción Vegetal,DBV4105,"[""Jose O'Brien""]"
Metabolismo y Células Vegetales,Metabolismo y Células Vegetales,DBV4106,"[""Jose O'Brien""]"
"Bionegocios, Patentamiento y Fuentes de Financiamiento","Bionegocios, Patentamiento y Fuentes de Financiamiento",DBV4107,['Daniela Fuentes']
Biotecnología e Industria,Biotecnología e Industria,DBV4110,['Jorge Arce']
Introducción a la Investigación Jurídica,Introducción a la Investigación Jurídica,DDE3130,['Adolfo Wegmann']
Responsabilidad Extracontractual del Empresario,Responsabilidad Extracontractual del Empresario,DDE3135,['Marcelo Barrientos']
Libertad de Expresión y Libertad de Cátedra,Libertad de Expresión y Libertad de Cátedra,DDE3137,['(Sin Profesores)']
Proyecto de Tesis Doctoral,Proyecto de Tesis Doctoral,DDE3140,['Dirección Docente']
Examen de Candidatura Doctoral,Examen de Candidatura Doctoral,DDE3141,['Dirección Docente']
Tesis Doctoral I,Tesis Doctoral I,DDE3142,['Dirección Docente']
Tesis Doctoral III,Tesis Doctoral III,DDE3144,['Dirección Docente']
Tesis Doctoral IV,Tesis Doctoral IV,DDE3145,['Dirección Docente']
Academic Legal Writing I,Academic Legal Writing I,DDE3146,['Alvaro Paul']
Actividad Anual de Seguimiento I,Actividad Anual de Seguimiento I,DDE3148,['Dirección Docente']
Actividad Anual de Seguimiento II,Actividad Anual de Seguimiento II,DDE3149,['Dirección Docente']
Autoría o Artículo Científico,Autoría o Artículo Científico,DDE3150,['Dirección Docente']
Pasantía,Pasantía,DDE3151,['Dirección Docente']
Teoría y Método del Derecho Comparado,Teoría y Método del Derecho Comparado,DDE3152,['Adolfo Wegmann']
Derecho de la Comunicación,Derecho de la Comunicación,DEL318,['Guillermo Solar']
Teoría del Acto Jurídico y Teoría de la Ley,Teoría del Acto Jurídico y Teoría de la Ley,DER001C,['Marcelo Barrientos']
Derecho Romano I,Derecho Romano I,DER001F,['Mario Correa']
Instituciones del Estado de Derecho Chileno,Instituciones del Estado de Derecho Chileno,DER001L,['Alejandra Ovalle']
Derecho Canónico,Derecho Canónico,DER001N,['Maria Pimstein;Francisca Ibarra']
Derecho Penal Parte General I,Derecho Penal Parte General I,DER001P,['Jaime Náquira']
Instituciones Procesales I,Instituciones Procesales I,DER001R,['Juan Castellón']
Derecho del Trabajo,Derecho del Trabajo,DER001S,['Teresita Tagle;Pedro Irureta']
Personas y Bienes,Personas y Bienes,DER002C,['Francisco Rubio;Juan Ossa']
Derecho Romano II,Derecho Romano II,DER002F,['Adolfo Wegmann']
Derecho Internacional Público,Derecho Internacional Público,DER002L,['Sebastian Rioseco']
Derecho Penal Parte General II,Derecho Penal Parte General II,DER002P,['Cristobal Izquierdo;Matias Belmonte']
Instituciones Procesales II,Instituciones Procesales II,DER002R,['Jose Silva;Macarena Oyarzun']
Obligaciones,Obligaciones,DER003C,['Cristobal Eyzaguirre;Jose Eyzaguirre;Vicente Allende']
Fundamentos Filosóficos del Derecho,Fundamentos Filosóficos del Derecho,DER003F,['Raul Madrid;Sebastian Guijarro']
Derechos Fundamentales y Derechos Humanos,Derechos Fundamentales y Derechos Humanos,DER003L,['Luis Garcia-Huidobro;Matías Sanhueza']
Derecho Penal Parte Especial,Derecho Penal Parte Especial,DER003P,['Cristobal Izquierdo;Matias Belmonte']
Procedimientos Civiles I,Procedimientos Civiles I,DER003R,['Patricio Martinez;Javiera Gutierrez']
Fuentes de Obligaciones I,Fuentes de Obligaciones I,DER004C,['Fernando Zuñiga;Pablo Morales']
Derecho Natural,Derecho Natural,DER004F,['Raul Madrid']
Derecho Administrativo I,Derecho Administrativo I,DER004L,['Alejandro Vergara']
Procedimientos Civiles II,Procedimientos Civiles II,DER004R,['Paulina Gonzalez;Simon Zañartu']
Fuentes de las Obligaciones II,Fuentes de las Obligaciones II,DER005C,['Juan Goldenberg']
Historia del Derecho,Historia del Derecho,DER005F,['Carlos Frontaura']
Derecho Administrativo II,Derecho Administrativo II,DER005L,['Oscar Contreras;Paulina Pastene']
Procedimientos Penales,Procedimientos Penales,DER005R,['Cristobal Bonacic;Jose Barahona']
Derecho de Familia,Derecho de Familia,DER006C,['Carolina Salinas']
"Historia de las Instituciones Jurídicas, Políticas y Sociales Chilenas","Historia de las Instituciones Jurídicas, Políticas y Sociales Chilenas",DER006F,['Juan Villarroel;Bruno Rodríguez']
Derecho Económico II,Derecho Económico II,DER006L,['Arturo Yrarrazaval']
Derecho Sucesorio,Derecho Sucesorio,DER007C,['Carmen Dominguez']
Teoría y Fuentes del Derecho,Teoría y Fuentes del Derecho,DER007F,['Alejandro Vergara']
Derecho Tributario I,Derecho Tributario I,DER007L,['Rodrigo Alvarez']
El Comerciante y Bases de la Contratación Mercantil,El Comerciante y Bases de la Contratación Mercantil,DER008C,['Roberto Guerrero;Matias Zegers']
Derecho Económico I,Derecho Económico I,DER008F,['Jose Bustamante;Camila Ramos']
Derecho Tributario II,Derecho Tributario II,DER008L,['Eduardo Lagos;Jorge Arancibia']
Derecho de Sociedades,Derecho de Sociedades,DER009C,['Pablo Guerrero;Mario Valderrama']
Derecho Político,Derecho Político,DER009F,['Francisco González;Beatriz Lopez']
Financiamiento de la Empresa,Financiamiento de la Empresa,DER010C,['Rodrigo Alvarez;Arnaldo Gorziglia']
Contratos Mercantiles y Concursos,Contratos Mercantiles y Concursos,DER011C,['Roberto Rios;Juan Goldenberg']
Derecho Internacional Privado,Derecho Internacional Privado,DER012C,['Juan Urquidi']
Taller de Metodología de la Investigación,Taller de Metodología de la Investigación,DER100H,['Dirección Docente']
Sustentabilidad Corporativa y Relación Con las Comunidades,Sustentabilidad Corporativa y Relación Con las Comunidades,DER102E,['Juan Ibañez;Eduardo Katz']
Familia y Sociedad,Familia y Sociedad,DER103E,['Carolina Salinas']
Debates Constitucionales,Debates Constitucionales,DER104E,['Miguel Fernandez']
Protección de Datos Personales en la Sociedad de la Información,Protección de Datos Personales en la Sociedad de la Información,DER105E,['Nicolas Cobo;Matías Aránguiz']
Esencia y Protección de los Derechos Humanos,Esencia y Protección de los Derechos Humanos,DER106E,['Gonzalo Candia']
"Aguas en Chile: Uso, Gestión y Conflictos","Aguas en Chile: Uso, Gestión y Conflictos",DER107E,['Daniela Rivera']
"Razón y Fe, Unidad en la Verdad","Razón y Fe, Unidad en la Verdad",DER110E,['Leonardo Bruna']
El Arte de Negociar,El Arte de Negociar,DER112E,['Cristian Saieh;Carolina Barriga;Carolina Larrain']
Entrega de Monografía,Entrega de Monografía,DER200H,['Dirección Docente']
Seminario de Investigación (Derecho Privado),Seminario de Investigación (Derecho Privado),DER201H,['Ricardo Jungmann']
Seminario de Investigación (Derecho Público),Seminario de Investigación (Derecho Público),DER202H,['Cecilia Rosales']
Seminario de Investigación (Derecho Procesal),Seminario de Investigación (Derecho Procesal),DER203H,['Paulina Gonzalez']
Seminario de Investigación (Derecho Penal),Seminario de Investigación (Derecho Penal),DER204H,['Alex Van Weezel']
Seminario de Investigación (Derecho del Trabajo),Seminario de Investigación (Derecho del Trabajo),DER205H,['Carmen Dominguez']
Seminario de Investigación (Fundamentos del Derecho),Seminario de Investigación (Fundamentos del Derecho),DER206H,['Raul Madrid']
Clínica Jurídica I (Derecho Privado Patrimonial),Clínica Jurídica I (Derecho Privado Patrimonial),DER301H,['Jaime Castillo;Francisca De la Maza']
Clínica Jurídica I (Derecho de Familia),Clínica Jurídica I (Derecho de Familia),DER302H,['Heydi Roman;Fernanda Espinoza']
Clínica Jurídica I (Derecho Público),Clínica Jurídica I (Derecho Público),DER303H,['Maximo Pavez;Giannina Bocchi']
Clínica Jurídica I (Derecho Penal),Clínica Jurídica I (Derecho Penal),DER304H,['Maria Santibanez;Jaime Castillo']
Clínica Jurídica I (Derecho del Trabajo),Clínica Jurídica I (Derecho del Trabajo),DER306H,['Rodrigo Azócar;Isaias Rodriguez']
Clínica Jurídica II (Derecho Privado Patrimonial),Clínica Jurídica II (Derecho Privado Patrimonial),DER401H,['Gabriel Montecinos;Paz Arriagada']
Clínica Jurídica II (Derecho de Familia),Clínica Jurídica II (Derecho de Familia),DER402H,['Walterio Miranda;Heydi Roman']
Derecho de Aguas,Derecho de Aguas,DER501C,['Hipolito Zanartu;Maria Baltra']
Justicia Canónica y Estatal: Desafíos de Un Diálogo Mutuo,Justicia Canónica y Estatal: Desafíos de Un Diálogo Mutuo,DER501N,['Maria Pimstein;María Arteaga']
Derecho Colectivo e Internacional del Trabajo,Derecho Colectivo e Internacional del Trabajo,DER501S,['Alvaro Cruz;Lilia Jerez']
Modelos de Litigación Internacional y Resolución de Problemas Jurídicos,Modelos de Litigación Internacional y Resolución de Problemas Jurídicos,DER501T,['(Sin Profesores)']
Derecho de Minería,Derecho de Minería,DER502C,['Hipolito Zanartu;Maria Baltra']
"Trade, Economy & Current Issues","Trade, Economy & Current Issues",DER502G,['Fernando Eyzaguirre']
Bioética y Persona,Bioética y Persona,DER502L,['Angela Vivanco']
"Estado, Laicidad y Religión","Estado, Laicidad y Religión",DER502N,['Ana Celis;Valentina Valdés']
Modelos de Litigación Internacional y Resolución de Problemas Jurídicos,Modelos de Litigación Internacional y Resolución de Problemas Jurídicos,DER502T,['(Sin Profesores)']
Justicia y Doctrina Social de la Iglesia,Justicia y Doctrina Social de la Iglesia,DER503F,['Felipe Widow;Ignacio Bas']
Corporate Leading Cases and Their Impact on Regulation,Corporate Leading Cases and Their Impact on Regulation,DER503G,['Juan Leon']
Formación de la Ley y Técnica Legislativa,Formación de la Ley y Técnica Legislativa,DER503L,['Jose Soto']
Medicina Legal,Medicina Legal,DER503P,['Leonardo Gonzalez']
Negociación,Negociación,DER503R,['Cristian Saieh;Carolina Larrain']
Familia y Sociedad,Familia y Sociedad,DER504F,['Carolina Salinas']
Taller de Litigación Civil,Taller de Litigación Civil,DER504R,['Ignacio Naudon;Alvaro Jofre']
La Mujer y el Trabajo,La Mujer y el Trabajo,DER505S,['Romina Urzua']
"Política y Derecho Durante la Unidad Popular, 1970-1973","Política y Derecho Durante la Unidad Popular, 1970-1973",DER507F,['Alejandro San Francisco']
Derecho Penal Administrativo,Derecho Penal Administrativo,DER507P,['Maria Krause']
Derecho Urbanístico,Derecho Urbanístico,DER508C,['Pablo Maino']
Protección de Datos Personales,Protección de Datos Personales,DER509L,['Nicolas Cobo;Matías Aránguiz']
International Commercial Arbitration,International Commercial Arbitration,DER510G,['Valentina Alamo']
Derecho Penal y Violencia Contra la Mujer,Derecho Penal y Violencia Contra la Mujer,DER510P,['Maria Santibanez']
Aspectos Tributarios de las Relaciones Laborales,Aspectos Tributarios de las Relaciones Laborales,DER510S,['David Oddo']
Cláusulas en la Contratación Moderna,Cláusulas en la Contratación Moderna,DER511C,['Orlando Palominos']
Litigación en el Ambito Civil Ante los Tribunales Superiores de Justicia,Litigación en el Ambito Civil Ante los Tribunales Superiores de Justicia,DER511R,['Patricio Martinez;Manuel Rodriguez']
Vocación Judicial,Vocación Judicial,DER512R,['Adelita Ravanales;Monica Naranjo     ']
Derecho de la Construcción,Derecho de la Construcción,DER513C,['Cristian Urzua']
Libertades y Derechos Fundamentales en la Educación,Libertades y Derechos Fundamentales en la Educación,DER513L,['Alberto Vergara;Juan Chomali']
Desafíos Procesales de la Litigación en Libre Competencia,Desafíos Procesales de la Litigación en Libre Competencia,DER513R,['Angelica Burmester']
Modernización del Poder Judicial y el Estatuto de los Jueces,Modernización del Poder Judicial y el Estatuto de los Jueces,DER514R,['Hernan Larrain']
Derecho Romano Desde la Casuística: Negocio Jurídico y Bienes,Derecho Romano Desde la Casuística: Negocio Jurídico y Bienes,DER515C,['Mario Correa']
Derecho de Daños: Bases y Principios,Derecho de Daños: Bases y Principios,DER517F,['Antonio Lopez;Arantxa Ereche']
"Capitalismo, Derecho y Doctrina Social de la Iglesia","Capitalismo, Derecho y Doctrina Social de la Iglesia",DER518F,['Felipe Widow;Diego Tagle']
¿Un Derecho Penal Con Menos Pena? Una Teoría de J-M. Silva S.,¿Un Derecho Penal Con Menos Pena? Una Teoría de J-M. Silva S.,DER518P,['Matias Belmonte']
Aspectos Penales de la Ley de Migración,Aspectos Penales de la Ley de Migración,DER519P,['Tania Gajardo']
Derecho y Literatura,Derecho y Literatura,DER520F,['Francisca Rendich']
Responsabilidad Empresarial: Accidentes del Trabajo y Enfermedades Profesionales,Responsabilidad Empresarial: Accidentes del Trabajo y Enfermedades Profesionales,DER601S,['Hugo Cifuentes;Maria Zaldivar']
Financiamiento de la Empresa y Mercado de Valores,Financiamiento de la Empresa y Mercado de Valores,DER602C,['Pedro Garcia']
Contabilidad Jurídica de la Empresa,Contabilidad Jurídica de la Empresa,DER604C,['Pablo Greiber']
"Sostenibilidad Corporativa, Desafíos de la Empresa Moderna","Sostenibilidad Corporativa, Desafíos de la Empresa Moderna",DER606C,['Juan Ibañez;Ignacio Valenzuela']
Análisis Financiero Empresarial,Análisis Financiero Empresarial,DER612C,['Pablo Greiber']
Introducción al Derecho Asiático (China y Japón),Introducción al Derecho Asiático (China y Japón),DER612L,['Marcos Jaramillo']
Derecho Penal Internacional,Derecho Penal Internacional,DER613L,['Jose Escobar']
Análisis Económico del Derecho,Análisis Económico del Derecho,DER615C,['Jorge Jaramillo']
Derecho Internacional Aplicado: Casos y Criterios Relevantes,Derecho Internacional Aplicado: Casos y Criterios Relevantes,DER615L,['Hernan Salinas']
Regulación del Gasto Fiscal y Evaluación de Proyectos,Regulación del Gasto Fiscal y Evaluación de Proyectos,DER618C,['Marco González']
Reorganización de Empresas en Crisis,Reorganización de Empresas en Crisis,DER621C,['Alejandra Anguita']
Abuso de Posición Dominante y Prácticas Exclusorias,Abuso de Posición Dominante y Prácticas Exclusorias,DER622C,['Tomas Menchaca']
"Colusión, Prácticas Concertadas y Operaciones de Concentración","Colusión, Prácticas Concertadas y Operaciones de Concentración",DER623C,['Ricardo Riesco']
Aspectos Teóricos y Prácticos de la Protección de la Innovación Desde Una Perspectiva Jurídica,Aspectos Teóricos y Prácticos de la Protección de la Innovación Desde Una Perspectiva Jurídica,DER624C,['Cristobal Porzio']
Riesgos de la Empresa y Seguros,Riesgos de la Empresa y Seguros,DER626C,['Roberto Rios;Gloria Claro']
Derecho de los Recursos Naturales,Derecho de los Recursos Naturales,DER802L,['Winston Alburquenque']
Fundamentos y Gestión Ambiental,Fundamentos y Gestión Ambiental,DER809L,['Ricardo Irarrazabal']
Ética Profesional (Privado),Ética Profesional (Privado),DER901C,['Mario Correa;Andres Germain']
Ética Profesional (Derecho Público),Ética Profesional (Derecho Público),DER901L,['Jose Alliende']
Ética Profesional (Derecho Penal),Ética Profesional (Derecho Penal),DER901P,['Maria Ossandon;Jaime Salas']
Ética Profesional (Derecho Procesal),Ética Profesional (Derecho Procesal),DER901R,['Nicolas Luco']
Ética Profesional (Financiero),Ética Profesional (Financiero),DER902C,['Juan Ibañez;Fijar Por']
Ética Profesional (Derecho de Familia),Ética Profesional (Derecho de Familia),DER903C,['Carmen Dominguez;Orlando Palominos']
Seminario de Graduación I (Investigación),Seminario de Graduación I (Investigación),DMD3001,['Dirección Docente']
Seminario de Graduación II (Caso),Seminario de Graduación II (Caso),DMD3002,['Nicolás Enteiche;Andres Saez;Carolina Helfmann;Alejandro Carcamo']
Seminario de Graduación III (Pasantía),Seminario de Graduación III (Pasantía),DMD3003,['Dirección Docente']
Método y Razonamiento Jurídico,Método y Razonamiento Jurídico,DMD3004,['Paulina Gonzalez;Carolina Beattie']
Ética Profesional,Ética Profesional,DMD3005,['Aída Gana']
Contabilidad Financiera de la Empresa,Contabilidad Financiera de la Empresa,DMD3102,['Christian Concha']
Protección de la Libre Competencia,Protección de la Libre Competencia,DMD3118,['Ricardo Riesco;Gastón Palmucci']
Financiamiento de la Empresa,Financiamiento de la Empresa,DMD3122,['Alejandro Rubilar;Felipe Dalgalarrando']
La Empresa y el Desarrollo Sostenible,La Empresa y el Desarrollo Sostenible,DMD3129,['Mauro Valdes;Jorge Araneda;Juan Schaeffer']
Fusiones y Adquisiciones,Fusiones y Adquisiciones,DMD3130,['Marco Salgado;Francisco Ugarte']
El Derecho de Seguros y los Riesgos de la Empresa,El Derecho de Seguros y los Riesgos de la Empresa,DMD3144,['Roberto Rios;Marcelo Nasser']
Law Whitout Walls,Law Whitout Walls,DMD3148,['Dirección Docente']
Grandres Casos de Libre Competencia. Economía y Derecho,Grandres Casos de Libre Competencia. Economía y Derecho,DMD3151,['Richard Peña']
Responsabilidad Legal de la Empresa,Responsabilidad Legal de la Empresa,DMD3154,['Ximena Marcazzolo;Erika Isler']
International and Comparative Corporate Law,International and Comparative Corporate Law,DMD3156,['Por Fijar']
Estrategia de Negocios. Competencia y Cooperación,Estrategia de Negocios. Competencia y Cooperación,DMD3157,['Richard Peña']
Derecho de Sociedades,Derecho de Sociedades,DMD3158,['Cristobal Herrera']
Tributación de las Sociedades y Otras Entidades Jurídicas,Tributación de las Sociedades y Otras Entidades Jurídicas,DMD3401,['Bernardo Marchant;Samuel Gutierrez']
Iva Teórico y Práctico,Iva Teórico y Práctico,DMD3407,['Manuel Subiabre;Norberto San Martin']
Tributación Internacional I,Tributación Internacional I,DMD3408,['Liselott Kana;Marcel Thevenot']
Derechos y Deberes de los Contribuyentes,Derechos y Deberes de los Contribuyentes,DMD3419,['Renato Catalan']
Litigación Tributaria,Litigación Tributaria,DMD3432,['Mario Ugalde;Luis Perez']
Efectos de los Impuestos en la Evaluación de Proyectos,Efectos de los Impuestos en la Evaluación de Proyectos,DMD3435,['Maximiliano Boada;Tomas Kubick']
Reformas Tributarias en Chile (2014-2020),Reformas Tributarias en Chile (2014-2020),DMD3439,['Ignacio Esnaola;Pedro Rojo']
Teoría Política y Constitucional,Teoría Política y Constitucional,DMD3501,['Marisol Pena']
Interpretación Constitucional,Interpretación Constitucional,DMD3505,['Rodrigo Delaveau']
Conflictos de Derechos,Conflictos de Derechos,DMD3518,['Angela Vivanco']
"Derecho Indígena: Identidad, Territorio y Consulta","Derecho Indígena: Identidad, Territorio y Consulta",DMD3522,['Alejandra Precht']
Reforma Constitucional o Nueva Constitución: Debate en Chile,Reforma Constitucional o Nueva Constitución: Debate en Chile,DMD3524,['Patricio Zapata;Jose Garcia']
Los Derechos Humanos Según la Jurisprudencia de la Corte Interamericana,Los Derechos Humanos Según la Jurisprudencia de la Corte Interamericana,DMD3526,['Alvaro Paul']
"Propiedad, Limitaciones y Expropiación","Propiedad, Limitaciones y Expropiación",DMD3528,['Sandra Ponce de Leon']
La Litigación Constitucional en Sede de Inaplicabilidad,La Litigación Constitucional en Sede de Inaplicabilidad,DMD3533,['Constanza Hube']
Procesos Constituyentes en la Experiencia Comparada,Procesos Constituyentes en la Experiencia Comparada,DMD3543,['Gaspar Jenkins;Macarena Diez']
El Amparo de Derechos en el Derecho Latinoamericano,El Amparo de Derechos en el Derecho Latinoamericano,DMD3544,['Pedro Caro;Fijar Por']
Problemas Actuales del Derecho Individual del Trabajo,Problemas Actuales del Derecho Individual del Trabajo,DMD3604,['Lucía Planet;Patricia Fuenzalida']
Problemas Actuales de Derecho Colectivo del Trabajo,Problemas Actuales de Derecho Colectivo del Trabajo,DMD3605,['Francisco Tapia;Carmen Dominguez']
Problemas Actuales del Derecho de la Seguridad Social,Problemas Actuales del Derecho de la Seguridad Social,DMD3607,['Hugo Cifuentes']
Problemas Actuales de Derecho Laboral Procesal,Problemas Actuales de Derecho Laboral Procesal,DMD3608,['Lamberto Cisternas']
Jornada de Trabajo y Compensaciones,Jornada de Trabajo y Compensaciones,DMD3610,['Maria Sanchez;Francisco Salmona']
La Mujer en el Derecho del Trabajo,La Mujer en el Derecho del Trabajo,DMD3625,['Macarena Lopez']
Legislación Migratoria y Contratación de Trabajadores Extranjeros,Legislación Migratoria y Contratación de Trabajadores Extranjeros,DMD3627,['Rodrigo Azócar;Catalina Melgarejo']
Libertad Sindical,Libertad Sindical,DMD3629,['Francisco Tapia;Fijar Por']
Estrategias de Liderazgo Efectivo y Trabajo,Estrategias de Liderazgo Efectivo y Trabajo,DMD3806,['Juan Pucheu']
El Blockchain y (Algunos) de Sus Efectos Jurídicos,El Blockchain y (Algunos) de Sus Efectos Jurídicos,DMD3808,['Matías Aránguiz;Carlos Lemp']
Juicios Orales y Técnicas de Litigación Oral,Juicios Orales y Técnicas de Litigación Oral,DMD3809,['Rodrigo Azócar']
Regulación Chilena y Comparada de Protección de Datos Personales,Regulación Chilena y Comparada de Protección de Datos Personales,DMD3810,['Nicolas Cobo;Matías Aránguiz']
Acompañamiento Jurídico al Tercer Sector,Acompañamiento Jurídico al Tercer Sector,DMD3811,['Ian Henriquez']
Contratación Administrativa,Contratación Administrativa,DMD3917,['José Lara;Andres Hermosilla']
Sistema de Evaluación de Impacto Ambiental,Sistema de Evaluación de Impacto Ambiental,DMD3922,['Edesio Carrasco;Felipe Leiva']
Sociología de la Regulación,Sociología de la Regulación,DMD3934,['Gonzalo Guerrero']
La Responsabilidad por Daño Ambiental,La Responsabilidad por Daño Ambiental,DMD3935,['Jorge Femenias']
Derecho Administrativo Sancionador,Derecho Administrativo Sancionador,DMD3936,['Eduardo Cordero']
Responsabilidad del Estado,Responsabilidad del Estado,DMD3939,['Eduardo Soto']
Procedimiento Administrativo,Procedimiento Administrativo,DMD3943,['Jaime Jara']
Derecho a la Educación y Libertad de Enseñanza,Derecho a la Educación y Libertad de Enseñanza,DMD3945,['Alberto Vergara;Juan Chomali']
Desarrollo de Proyectos de Energía Renovable,Desarrollo de Proyectos de Energía Renovable,DMD3946,['Jose Ilharreborde;Pedro Echeverria']
Derecho Sanitario,Derecho Sanitario,DMD3947,['Gabriela Novoa;Jorge Hubner']
Biodiversidad y Conservación Ambiental en el Derecho Chileno e Internacional,Biodiversidad y Conservación Ambiental en el Derecho Chileno e Internacional,DMD3950,['Patricio Walker;José Fuenzalida']
El Derecho Administrativo en la Jurisprudencia. Estudio de Fallos y Dictámenes Relevantes,El Derecho Administrativo en la Jurisprudencia. Estudio de Fallos y Dictámenes Relevantes,DMD3951,['Paula Bagioli;Cristobal Osorio']
Metodología de la Investigación en Ciencias Jurídicas y Sociales,Metodología de la Investigación en Ciencias Jurídicas y Sociales,DME3431,['Sebastian Zarate']
Empresa y Gobierno,Empresa y Gobierno,DME3432,['Jorge Sahd']
Compliance Corporativo y Buenas Prácticas,Compliance Corporativo y Buenas Prácticas,DME3433,['Ricardo Jungmann']
Mercado de Capitales,Mercado de Capitales,DME3490,['Jose Gaspar']
Proteccion de la Libre Competencia,Proteccion de la Libre Competencia,DME3520,['Ricardo Jungmann']
Responsabilidad Extracontractual de la Empresa,Responsabilidad Extracontractual de la Empresa,DME3571,['Marcelo Barrientos']
Financiamiento de la Empresa,Financiamiento de la Empresa,DME3610,['Fernando Eyzaguirre']
Derecho del Medio Ambiente,Derecho del Medio Ambiente,DME3680,['Ricardo Irarrazabal']
Estrategias de Negociacion y Mediacion,Estrategias de Negociacion y Mediacion,DME3690,['Nicolas Frias']
Tributacion Internacional,Tributacion Internacional,DME3700,['Jorge Espinosa']
Economía y Derecho de la Regulación,Economía y Derecho de la Regulación,DME3720,['Juan Romero']
Seminario de Graduación,Seminario de Graduación,DME4010,['Sebastian Zarate;Jorge Espinosa;Marco Salgado']
Estrategia de Negocios. Competencia y Cooperación,Estrategia de Negocios. Competencia y Cooperación,DME4012,['(Sin Profesores)']
Sostenibilidad Corporativa: Desafíos de la Empresa Moderna,Sostenibilidad Corporativa: Desafíos de la Empresa Moderna,DME4013,['Juan Ibañez']
Iluminacion,Iluminacion,DNO001,['Douglas Leonard;Catalina Harasic']
Introduccion a la Tipografia,Introduccion a la Tipografia,DNO002,['Francisco Galvez']
Manejo y Aplicacion del Color,Manejo y Aplicacion del Color,DNO004,['Maria Cox']
Diseno y Manufactura Digital Cad/Cam,Diseno y Manufactura Digital Cad/Cam,DNO016,['Luis Andueza']
Fotografiar Hoy,Fotografiar Hoy,DNO020,['Justine Graham']
Taller: Producto,Taller: Producto,DNO0221,['Marcela Mora;María Larraín']
Ergonomia,Ergonomia,DNO0222,['Catalina Perez']
Sistemas de Configuración Desde el Textil,Sistemas de Configuración Desde el Textil,DNO025,['Maria Hoces de la Guardia']
Diseño y Nuevas Tendencias de la Audiovisualidad Contemporánea,Diseño y Nuevas Tendencias de la Audiovisualidad Contemporánea,DNO031,['Marcela Parada']
"Teorías, Estrategias y Metodologías de Investigación Aplicadas al Diseño","Teorías, Estrategias y Metodologías de Investigación Aplicadas al Diseño",DNO0313,['Patricia Manns;Katherine Mollenhauer;Lina Cardenas']
Taller: Calidad I,Taller: Calidad I,DNO0314,['Alberto Gonzalez;Patricia Manns']
Estructuras y Materiales,Estructuras y Materiales,DNO0315,['Luis Andueza;Hector Novoa']
Taller: Calidad II,Taller: Calidad II,DNO0321,['Alejandra Amenabar']
Procesos de Producción,Procesos de Producción,DNO0323,['María Simian;Natalia Oviedo']
Design Sketching,Design Sketching,DNO036,['Alberto Gonzalez']
Diseño y Nuevos Medios,Diseño y Nuevos Medios,DNO037,['Felipe Cortez']
Del Plano al Volumen Textil,Del Plano al Volumen Textil,DNO040,['Camila Rios']
Taller: Mercado I,Taller: Mercado I,DNO0411,['Sylvia Moreno']
Diseño de Información,Diseño de Información,DNO0412,['Daniela Moyano']
Diseño e Impacto Ambiental,Diseño e Impacto Ambiental,DNO0413,['Oscar Huerta']
Taller: Mercado II,Taller: Mercado II,DNO0421,['Denise Montt']
Practica Profesional - Oficina,Practica Profesional - Oficina,DNO0422,['Zinnia Silva']
